seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,tx_6dB,6.0,,frozen,32qam,10,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,bpsk,10,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,10,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,10,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,32qam,10,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,bpsk,-10,0.347,0.317,0.376
101,tx_3dB,3.0,,frozen,qpsk,-10,0.139,0.114,0.164
101,tx_3dB,3.0,,frozen,16qam,-10,0.45,0.417,0.482
101,tx_3dB,3.0,,frozen,32qam,-10,0.434,0.401,0.468
101,tx_3dB,3.0,,recalibrated,bpsk,-10,0.347,0.317,0.376
101,tx_3dB,3.0,,recalibrated,qpsk,-10,0.139,0.114,0.164
101,tx_3dB,3.0,,recalibrated,16qam,-10,0.45,0.417,0.482
101,tx_3dB,3.0,,recalibrated,32qam,-10,0.434,0.401,0.468
101,tx_3dB,3.0,,frozen,bpsk,-8,0.144,0.123,0.166
101,tx_3dB,3.0,,frozen,qpsk,-8,0.048,0.035,0.062
101,tx_3dB,3.0,,frozen,16qam,-8,0.439,0.409,0.469
101,tx_3dB,3.0,,frozen,32qam,-8,0.43,0.399,0.4590249999999999
101,tx_3dB,3.0,,recalibrated,bpsk,-8,0.144,0.123,0.166
101,tx_3dB,3.0,,recalibrated,qpsk,-8,0.048,0.035,0.062
101,tx_3dB,3.0,,recalibrated,16qam,-8,0.439,0.409,0.469
101,tx_3dB,3.0,,recalibrated,32qam,-8,0.43,0.399,0.4590249999999999
101,tx_3dB,3.0,,frozen,bpsk,-6,0.035,0.024,0.047
101,tx_3dB,3.0,,frozen,qpsk,-6,0.008,0.003,0.014
101,tx_3dB,3.0,,frozen,16qam,-6,0.234,0.207975,0.261
101,tx_3dB,3.0,,frozen,32qam,-6,0.26,0.232,0.28602499999999986
101,tx_3dB,3.0,,recalibrated,bpsk,-6,0.035,0.024,0.047
101,tx_3dB,3.0,,recalibrated,qpsk,-6,0.008,0.003,0.014
101,tx_3dB,3.0,,recalibrated,16qam,-6,0.234,0.207975,0.261
101,tx_3dB,3.0,,recalibrated,32qam,-6,0.26,0.232,0.28602499999999986
101,tx_3dB,3.0,,frozen,bpsk,-4,0.009,0.004,0.015
101,tx_3dB,3.0,,frozen,qpsk,-4,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,-4,0.076,0.059,0.093
101,tx_3dB,3.0,,frozen,32qam,-4,0.074,0.058,0.09002499999999986
101,tx_3dB,3.0,,recalibrated,bpsk,-4,0.009,0.004,0.015
101,tx_3dB,3.0,,recalibrated,qpsk,-4,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,-4,0.076,0.059,0.093
101,tx_3dB,3.0,,recalibrated,32qam,-4,0.074,0.058,0.09002499999999986
101,tx_3dB,3.0,,frozen,bpsk,-2,0.002,0.0,0.005
101,tx_3dB,3.0,,frozen,qpsk,-2,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,-2,0.019,0.011,0.028
101,tx_3dB,3.0,,frozen,32qam,-2,0.019,0.011,0.028
101,tx_3dB,3.0,,recalibrated,bpsk,-2,0.002,0.0,0.005
101,tx_3dB,3.0,,recalibrated,qpsk,-2,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,-2,0.019,0.011,0.028
101,tx_3dB,3.0,,recalibrated,32qam,-2,0.019,0.011,0.028
101,tx_3dB,3.0,,frozen,bpsk,0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,0,0.002,0.0,0.005
101,tx_3dB,3.0,,frozen,32qam,0,0.003,0.0,0.007
101,tx_3dB,3.0,,recalibrated,bpsk,0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,0,0.002,0.0,0.005
101,tx_3dB,3.0,,recalibrated,32qam,0,0.003,0.0,0.007
101,tx_3dB,3.0,,frozen,bpsk,2,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,2,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,2,0.001,0.0,0.003
101,tx_3dB,3.0,,frozen,32qam,2,0.001,0.0,0.003
101,tx_3dB,3.0,,recalibrated,bpsk,2,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,2,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,2,0.001,0.0,0.003
101,tx_3dB,3.0,,recalibrated,32qam,2,0.001,0.0,0.003
101,tx_3dB,3.0,,frozen,bpsk,4,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,4,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,4,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,32qam,4,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,bpsk,4,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,4,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,4,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,32qam,4,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,bpsk,6,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,6,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,6,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,32qam,6,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,bpsk,6,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,6,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,6,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,32qam,6,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,bpsk,8,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,8,0.0,0.0,0.0
